6,1,4813
4,1,5855
8,8,8881
1,8,9315
7,4,8945
5,8,8523
0,3,2769
9,2,3358
9,7,4888
3,2,6230
1,0,2455
8,6,2452
6,6,4336
4,0,1913
4,9,4741
4,1,6105
3,4,5929
3,3,6927
3,7,4661
5,3,136
6,7,3271
3,9,7008
3,3,1450
1,3,8638
2,6,6631
6,1,6708
1,7,1341
2,9,9368
4,6,588
4,6,7614
5,9,6779
0,7,4481
3,6,1211
7,9,9563
5,2,3970
6,3,6147
4,1,9066
2,7,8318
0,2,9058
2,5,6656
3,4,7135
2,6,9265
9,5,473
8,0,3173
2,0,7532
1,7,9874
4,6,6448
8,8,9331
3,9,9920
8,4,15
7,9,8937
3,9,7843
1,1,4913
0,7,216
8,1,6707
1,2,2524
7,0,4509
3,4,8696
6,6,2733
0,9,2587
4,0,7495
4,9,5079
1,5,1694
0,3,5607
6,7,7030
1,9,9543
9,7,7742
2,1,7959
9,7,6832
7,8,7809
8,0,6981
3,5,2762
5,2,9198
5,5,1828
1,0,4554
5,6,7130
7,8,1489
9,8,5682
2,8,5071
0,8,2757
5,9,3082
7,0,2447
5,5,6736
6,2,912
1,6,2974
3,6,8719
3,8,5219
4,9,9057
9,7,5472
2,9,2546
8,2,2642
6,6,304
9,5,5696
8,5,230
8,5,2188
8,1,7459
0,2,5529
1,5,4658
7,5,2306
0,6,5532
3,4,960
6,3,1699
9,7,5654
0,3,9944
5,0,3952
3,9,7388
2,6,7734
3,0,1198
3,4,5690
8,4,6343
1,0,3999
1,8,7657
5,9,7521
9,1,9483
7,3,9524
2,6,4699
1,3,1131
6,7,1505
9,1,2695
7,9,5543
8,8,9931
8,8,8175
3,0,9943
6,2,7394
0,2,5092
8,9,6952
1,4,1488
0,6,8975
9,0,1200
4,9,1782
4,5,3017
7,2,9213
0,3,3382
2,2,3053
5,8,5823
2,4,3030
8,8,5728
0,4,213
3,0,3720
5,4,5453
7,9,5956
2,6,5548
2,3,3050
8,9,9804
6,1,6930
4,4,1566
6,9,2578
1,7,2273
5,8,3156
6,5,5962
6,5,6937
9,4,620
9,8,8236
2,4,5307
6,0,4202
6,1,1918
3,1,9391
8,6,4087
0,7,7766
2,0,2568
9,1,8183
8,3,9311
6,0,1841
3,9,2790
0,1,3037
5,0,7196
8,6,1006
0,5,6992
5,6,8908
6,0,1835
4,4,3053
6,4,3748
8,0,1642
0,4,5149
9,4,350
4,4,9018
9,2,1786
3,6,1205
8,0,598
6,3,9373
4,7,8260
7,4,9863
0,4,2583
7,1,6442
4,4,4702
2,6,2817
9,3,2805
3,8,1071
0,7,1756
3,9,6273
3,3,2667
2,0,3738
6,5,5913
6,8,5611
4,0,9012
7,9,8676
2,7,81
1,7,5389
6,8,8414
3,7,7825
3,8,3631
7,9,9705
6,7,4066
8,3,4046
2,7,4089
4,4,6374
6,5,4951
7,4,7983
6,5,51
1,7,8348
3,4,8140
5,6,9899
4,4,5944
5,0,2226
8,9,940
7,2,3742
0,6,7853
3,5,4766
1,7,229
5,9,3026
1,7,3495
1,7,3856
4,7,7914
4,8,9041
5,7,5716
9,6,6804
2,2,2127
2,5,9186
5,9,575
8,5,6602
0,5,1500
4,1,5383
9,5,7061
3,2,4204
7,1,6688
9,1,88
5,1,2044
0,6,5571
9,7,9071
8,0,135
3,2,3195
8,7,670
0,9,6559
4,8,9288
8,3,8651
8,8,1369
1,3,1477
7,6,2388
4,4,4357
6,3,3998
1,0,4646
2,1,2146
0,1,3277
4,5,2530
7,7,3327
7,3,7625
9,9,6387
8,8,6679
9,6,5550
5,5,8317
2,0,9699
6,5,5441
4,5,1218
9,8,9036
0,6,8122
7,7,3375
6,1,1062
7,5,1869
4,3,2800
8,3,6049
0,9,2980
3,2,2350
5,9,2300
7,1,8584
6,1,2125
0,7,6528
7,1,7450
6,2,3719
5,5,301
6,3,2104
0,0,6593
6,8,6076
8,7,6659
2,2,5627
1,2,330
0,1,8403
4,4,5623
7,2,302
6,3,9778
4,5,655
0,6,5357
2,6,432
7,1,8152
3,6,8157
4,7,798
8,0,574
1,4,6025
1,7,7903
3,1,879
6,0,2986
0,7,7472
8,7,4443
5,9,3953
7,3,224
8,4,436
1,4,7990
4,4,9696
1,4,4061
7,9,7281
4,2,4280
7,4,2864
1,2,5045
4,6,1903
2,0,789
5,8,4570
6,7,1498
3,7,6281
9,8,7373
3,5,4157
0,4,427
1,6,1853
0,5,8089
0,3,6359
1,2,392
4,6,3562
6,4,6699
8,4,5579
6,0,1943
3,7,9440
8,1,6392
9,2,3286
9,6,314
3,0,2121
2,0,477
8,6,2467
3,5,2744
5,5,5933
7,1,9635
5,1,2165
9,9,6334
3,6,7242
8,1,7864
0,4,7434
7,8,4761
6,5,4650
8,7,6693
1,2,7989
0,8,6410
5,1,3814
4,6,1709
8,9,1917
1,6,6654
4,4,2672
7,0,2289
1,1,8441
4,3,7887
4,2,9542
3,9,2613
6,5,2710
4,6,100
9,9,4986
5,1,1014
6,5,3528
7,6,9737
2,1,9366
0,2,5715
5,4,708
9,1,7796
3,3,2869
6,6,3260
6,2,1815
3,9,7164
9,8,9380
6,2,6564
8,4,2792
9,4,5375
3,8,910
5,7,7815
5,6,2577
0,7,5607
7,5,7487
5,5,5520
5,7,6163
1,5,5857
3,3,9271
3,5,1698
6,9,1199
2,6,5924
2,2,2456
4,6,5336
7,1,4154
9,1,7649
4,4,2723
0,5,2516
5,8,3441
6,9,3268
8,7,1252
9,1,5833
0,7,898
7,7,3278
2,9,7046
5,9,1309
4,7,2851
9,0,3877
1,4,8857
4,7,5286
8,7,9269
1,1,8914
4,5,3143
4,3,5160
6,3,8665
1,4,9038
3,9,7837
2,4,7425
8,9,796
2,8,3346
9,9,9231
9,5,1369
8,6,1541
9,5,8912
0,6,5019
1,3,3985
3,2,7667
8,3,5178
2,5,2727
4,8,3711
0,3,92
8,7,1270
9,1,8959
5,5,2699
0,8,2409
1,8,131
0,5,8238
2,9,945
4,6,4086
7,5,2149
2,3,2757
2,6,700
2,6,8733
4,4,5568
9,4,1265
0,7,7667
5,6,4523
5,3,6123
3,5,2126
9,5,3883
9,4,5539
1,8,9595
4,0,8898
8,1,8434
4,7,3367
3,3,4097
4,1,1132
0,2,8123
5,7,4733
3,3,8315
9,9,5138
7,7,1506
4,9,166
1,0,6204
5,7,2002
2,8,3621
2,0,8691
1,0,8144
1,9,4279
4,7,6581
7,1,5498
1,0,6662
1,1,3797
9,8,6481
1,4,6029
1,2,1139
2,3,9928
0,6,2566
2,9,9041
6,0,5593
7,2,1070
4,3,7964
1,5,4148
5,4,3321
9,1,5133
6,1,2456
9,9,9136
9,1,8003
1,2,4022
0,3,1090
0,5,7413
1,5,6736
4,3,3872
9,6,7418
2,6,844
5,8,4049
1,7,3337
5,5,404
2,9,5710
8,0,4607
0,1,8719
3,5,4357
7,4,2251
8,5,5191
9,9,4549
7,6,3857
9,5,175
4,4,8376
6,2,440
0,5,5995
8,3,4472
9,1,6820
3,5,8681
5,0,6064
4,3,4971
3,1,2024
0,3,6172
2,7,5064
4,0,9053
3,5,5265
2,5,86
7,6,1362
4,9,9446
9,9,9524
1,7,3933
3,2,147
3,4,9944
8,1,4545
2,0,7601
2,1,3811
7,1,8293
3,6,4813
5,7,321
9,5,7948
7,3,695
0,2,7665
0,6,9280
4,2,5624
9,0,6337
6,7,4683
3,2,7133
3,6,5854
9,6,2236
4,0,5272
6,5,5273
7,2,881
3,7,2165
0,6,7108
5,0,4251
3,4,3645
1,9,9434
9,1,727
7,3,3335
5,3,3767
4,2,6140
3,0,2485
6,7,7797
6,0,4056
6,5,7286
5,3,5593
6,5,7958
3,3,5950
9,2,4468
3,1,7286
6,6,4233
0,3,6455
7,9,1000
7,8,5842
2,7,1714
8,2,5458
5,8,9183
8,7,7224
3,7,2835
5,6,5740
6,4,9720
1,7,402
3,5,8173
0,2,7885
8,6,1277
6,9,2697
9,4,5463
2,9,805
0,6,4915
6,1,7570
9,7,6486
4,6,6974
7,5,7699
6,6,4637
1,7,8101
2,2,4182
4,5,9780
3,8,9988
7,5,3379
8,4,8065
9,8,5832
6,6,8966
1,4,8786
5,1,5378
6,2,843
6,2,1606
1,0,5945
3,1,7180
1,2,3363
2,3,6171
3,1,6087
4,1,2049
1,5,4618
3,6,3070
8,9,8287
0,1,3438
0,4,4543
1,9,2803
1,5,554
0,2,6810
3,1,9155
4,1,9517
7,8,9823
2,9,5297
5,6,520
3,7,1130
